City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
159,General Roca,AR,-39.0333,-67.5833,91.62,13,100,4.32,overcast clouds
160,Maceio,BR,-9.6658,-35.7353,83.64,74,20,12.66,few clouds
161,Thompson,CA,55.7435,-97.8558,41.16,100,90,3.44,mist
162,Mar Del Plata,AR,-38.0023,-57.5575,77.02,90,0,5.99,clear sky
163,Pisco,PE,-13.7,-76.2167,69.85,64,0,18.41,clear sky
164,Upernavik,GL,72.7868,-56.1549,23.58,74,93,5.41,overcast clouds
165,Meulaboh,ID,4.1363,96.1285,74.3,92,100,4.52,overcast clouds
166,Bathsheba,BB,13.2167,-59.5167,84.81,65,20,11.5,few clouds
167,Mundo Nuevo,MX,18.7,-95.5,87.03,74,10,12.62,clear sky
168,Pine Castle,US,28.472,-81.3679,85.68,45,75,9.22,broken clouds
169,Medicine Hat,CA,50.0501,-110.6683,56.71,39,11,5.99,few clouds
170,Najran,SA,17.4924,44.1277,70.45,24,2,2.24,clear sky
171,Rio Gallegos,AR,-51.6226,-69.2181,66.25,27,75,26.46,broken clouds
172,Namibe,AO,-15.1961,12.1522,66.69,77,13,9.57,few clouds
173,Saint-Philippe,RE,-21.3585,55.7679,71.19,78,40,11.23,scattered clouds
174,Khash,IR,28.2211,61.2158,63.59,35,49,3.33,scattered clouds
175,Kaitangata,NZ,-46.2817,169.8464,50.95,90,11,3.56,few clouds
176,Malkangiri,IN,18.35,81.9,71.74,84,15,2.1,few clouds
177,Letlhakane,BW,-21.4167,25.5833,70.3,63,99,14.9,light rain
178,Carnarvon,AU,-24.8667,113.6333,62.67,59,75,12.66,broken clouds
179,Dikson,RU,73.5069,80.5464,7.81,91,36,2.91,scattered clouds
180,Samarai,PG,-10.6167,150.6667,81.28,77,99,14.18,overcast clouds
181,Lebu,CL,-37.6167,-73.65,57.81,76,60,14.97,broken clouds
182,Jizan,SA,17.3333,42.6667,83.34,56,5,3.78,clear sky
183,Nizwa,OM,22.9333,57.5333,75.27,70,94,9.19,overcast clouds
184,Ilam,NP,26.9167,87.9167,59.32,88,25,3.96,scattered clouds
185,Puerto Escondido,MX,15.85,-97.0667,88.63,62,1,9.22,clear sky
186,Rovaniemi,FI,66.5,25.7167,27.81,100,40,12.66,light shower snow
187,Shamary,RU,57.3434,58.2199,32.41,89,100,10.49,overcast clouds
188,Lorengau,PG,-2.0226,147.2712,81.37,77,22,2.89,few clouds
189,Tuni,IN,17.35,82.55,75.74,86,8,4.23,clear sky
190,Anito,PH,12.4497,125.2886,78.64,87,96,7.14,overcast clouds
191,Cap Malheureux,MU,-19.9842,57.6142,72.46,70,6,1.99,clear sky
192,Luanda,AO,-8.8368,13.2343,77.0,83,20,9.22,light rain
193,Freeport,US,40.6576,-73.5832,64.33,67,90,5.99,overcast clouds
194,Port Lavaca,US,28.615,-96.6261,82.31,51,1,10.36,clear sky
195,Avera,US,33.194,-82.5271,71.47,28,3,1.01,clear sky
196,Oyama,JP,36.3,139.8,61.59,81,100,3.15,overcast clouds
197,Provideniya,RU,64.3833,-173.3,19.51,63,90,11.18,overcast clouds
198,Dhidhdhoo,MV,6.8833,73.1,81.7,75,100,6.38,overcast clouds
199,Zhovtneve,UA,50.6637,24.2492,46.2,83,92,7.63,overcast clouds
200,Elban,RU,50.1018,136.5094,37.81,82,21,5.55,few clouds
201,Georgetown,MY,5.4112,100.3354,81.9,87,20,2.3,few clouds
202,Darnah,LY,32.767,22.6367,71.76,69,96,2.39,overcast clouds
203,Lata,PT,40.1629,-8.3327,60.06,62,0,0.6,clear sky
204,Mkushi,ZM,-13.6202,29.3939,70.23,66,24,12.93,few clouds
205,Tautira,PF,-17.7333,-149.15,84.22,81,7,11.32,light rain
206,Port Hardy,CA,50.6996,-127.4199,50.18,81,75,5.75,light rain
207,Victoria,HK,22.2855,114.1577,77.38,86,83,5.01,light rain
208,Dryden,CA,49.7833,-92.7503,48.49,61,90,16.11,overcast clouds
209,Guarapari,BR,-20.6667,-40.4975,80.49,78,24,12.57,few clouds
210,Yerbogachen,RU,61.2767,108.0108,23.83,69,100,16.62,overcast clouds
211,Chase,CA,50.8165,-119.6857,56.39,61,42,4.81,scattered clouds
212,Maicao,CO,11.3832,-72.2432,88.52,60,32,8.95,scattered clouds
213,Srivardhan,IN,18.0333,73.0167,75.87,65,0,5.08,clear sky
214,Saint-Georges,GD,12.0564,-61.7485,82.08,83,75,20.71,broken clouds
215,Wattegama,LK,6.7989,81.4808,74.68,87,100,2.26,overcast clouds
216,Launceston,AU,-41.45,147.1667,49.64,92,40,0.0,scattered clouds
217,Champasak,LA,14.75,106.0,70.39,99,100,0.36,overcast clouds
218,Swan Hill,AU,-35.3378,143.5544,62.02,46,100,1.97,moderate rain
219,Pyapon,MM,16.2833,95.6833,76.3,86,100,4.36,overcast clouds
220,Belle Fourche,US,44.6714,-103.8522,60.12,29,3,18.66,clear sky
221,Port Elizabeth,ZA,-33.918,25.5701,67.1,78,100,20.04,overcast clouds
222,Solnechnyy,RU,50.7214,136.6319,35.78,95,97,7.14,overcast clouds
223,Oriximina,BR,-1.7656,-55.8661,86.77,60,100,3.96,overcast clouds
224,Ridgecrest,US,35.6225,-117.6709,70.65,26,0,1.01,clear sky
225,Yunhe,CN,34.0833,119.7167,54.64,61,100,3.11,light rain
226,Shimoda,JP,34.6667,138.95,57.11,75,100,6.49,overcast clouds
227,Chokurdakh,RU,70.6333,147.9167,4.51,90,99,5.75,overcast clouds
228,Ketchikan,US,55.3422,-131.6461,46.87,76,75,6.91,light rain
229,Beloha,MG,-25.1667,45.05,68.92,78,100,14.94,overcast clouds
230,Asau,RO,46.4333,26.4,46.76,61,9,3.33,clear sky
231,Constitucion,CL,-35.3333,-72.4167,64.11,64,14,11.77,few clouds
232,Mount Gambier,AU,-37.8333,140.7667,53.51,100,90,6.91,overcast clouds
233,Masuguru,TZ,-11.3667,38.4167,83.17,51,37,6.13,scattered clouds
234,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,98.94,25,67,8.25,broken clouds
235,Mnogovershinnyy,RU,53.9353,139.9242,34.99,95,100,5.91,light rain
236,Manggar,ID,-2.8833,108.2667,80.85,79,100,2.01,light rain
237,Kuruman,ZA,-27.4524,23.4325,57.99,85,100,8.46,light rain
238,Kerema,PG,-7.9631,145.7785,77.76,89,64,3.2,light rain
239,Dongsheng,CN,39.8161,109.9776,41.0,51,87,4.25,overcast clouds
240,Eskisehir,TR,39.7767,30.5206,46.27,81,0,8.05,clear sky
