City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
200,Vila Franca Do Campo,PT,2021-10-25 21:57:06,37.7167,-25.4333,66.61,78,30,4.94
201,Lompoc,US,2021-10-25 21:57:06,34.6391,-120.4579,66.25,77,75,10.0
202,Ugoofaaru,MV,2021-10-25 21:57:06,5.6667,73.0,81.63,77,90,10.87
203,Sadiqabad,PK,2021-10-25 21:57:06,28.3062,70.1307,71.01,45,0,5.75
204,Constitucion,CL,2021-10-25 21:57:07,-35.3333,-72.4167,63.0,67,73,18.07
205,Salinopolis,BR,2021-10-25 21:57:07,-0.6136,-47.3561,81.25,80,47,13.09
206,Saint-Georges,GD,2021-10-25 21:57:08,12.0564,-61.7485,83.88,74,20,16.11
207,Bambous Virieux,MU,2021-10-25 21:57:08,-20.3428,57.7575,70.05,88,75,14.97
208,Port Hedland,AU,2021-10-25 21:57:08,-20.3167,118.5667,73.45,88,0,8.05
209,Alice Springs,AU,2021-10-25 21:55:19,-23.7,133.8833,76.55,36,10,5.75
210,Havoysund,NO,2021-10-25 21:57:09,70.9963,24.6622,27.48,86,98,23.42
211,Noshiro,JP,2021-10-25 21:57:09,40.2039,140.0242,50.94,70,100,4.59
212,Pochutla,MX,2021-10-25 21:57:09,15.7432,-96.4661,86.83,68,65,7.61
213,Beringovskiy,RU,2021-10-25 21:57:09,63.05,179.3167,13.21,73,100,5.48
214,Eura,FI,2021-10-25 21:57:10,61.1333,22.1333,46.62,92,100,6.78
215,Oussouye,SN,2021-10-25 21:57:10,12.485,-16.5469,82.58,80,99,1.14
216,Nisia Floresta,BR,2021-10-25 21:57:10,-6.0911,-35.2086,81.41,69,14,11.88
217,Moussoro,TD,2021-10-25 21:57:11,13.6408,16.4901,89.13,12,1,14.03
218,Oudtshoorn,ZA,2021-10-25 21:57:11,-33.5907,22.2014,53.96,87,6,2.35
219,Awjilah,LY,2021-10-25 21:57:11,29.1081,21.2869,76.19,32,29,12.82
220,Providencia,MX,2021-10-25 21:57:12,28.7167,-111.5833,92.48,55,0,11.99
221,Teguldet,RU,2021-10-25 21:57:12,57.3064,88.1667,35.76,84,98,3.67
222,Spornoye,RU,2021-10-25 21:57:12,50.8448,37.2913,30.22,68,4,4.47
